Numero poste, Longitud 1, Longitud 2
164, 2508, 2508.0
165, 2485, 2485.0
166, 2458, 2430.0
167, 2425, 2425.0
168, 2375, 2375.0
169, 2324, 2324.0
170, 2289, 2289.0
171, 2256, 2256.0
172, 2212, 2212.0
173, 2174, 2174.0
174, 2106, 2106.0
175, 2002, 2002.0
176, 1957, 1957.0
177, 1881, 1841.0
178, 1798, 1768.0
179, 1729, 1729.0
180, 1686, 1656.0
181, 1617, 1617.0
182, 1578, 1578.0
183, 1541, 1515.0
184, 1484, 1484.0
185, 1441, 1441.0
186, 1421, 1421.0
187, 1382, 1382.0
188, 1342, 1316.0
189, 1277, 1277.0
190, 1205, 1205.0
191, 1165, 1139.0
192, 1064, 1064.0
193, 1032, 1032.0
194, 986, 960.0
195, 919, 919.0
196, 880, 880.0
197, 844, 844.0
198, 807, 807.0
199, 771, 745.0
200, 705, 705.0
201, 672, 672.0
202, 632, 602.0
180, 1208.5272379120483
181, 1208.5272379120483
203, 1254.6713295453974
182, 1285, 1285.0
205, 1326, 1326.0
206, 1364, 1364.0
207, 1403, 1403.0
208, 1469, 1443.0
209, 1510, 1510.0
210, 1537, 1550.0
188, 148, 161.0
189, 200, 200.0
210, 237, 237.0
211, 279, 279.0
212, 329, 329.0
213, 0, 0.0
214, 389, 415.0
215, 447, 447.0
216, 490, 490.0
217, 539, 539.0
218, 585, 601.0
194, 3540, 3526.0
193, 3485, 3485.0
219, 3446, 3446.0
220, 3405, 3405.0
221, 3366, 3366.0
222, 3327, 3311.0
199, 1189, 1176.0
198, 1140, 1140.0
197, 1104, 1104.0
223, 1064, 1038.0
224, 999, 999.0
225, 960, 934.0
226, 897, 897.0
227, 809, 786.0
47, 4010, 3987.0
46, 3963, 3963.0
243, 3875, 3875.0
244, 3840, 3840.0
245, 3803, 3777.0
246, 3736, 3736.0
247, 3695, 3695.0
248, 3649, 3649.0
249, 3634, 3634.0
250, 3594, 3594.0
251, 3557, 3541.0
245, 113, 126.0
313, 175, 175.0
314, 219, 219.0
315, 237, 237.0
316, 286, 286.0
317, 330, 330.0
318, 365, 365.0
319, 383, 383.0
320, 408, 408.0
321, 442, 442.0
322, 477, 503.0
323, 535, 535.0
324, 572, 572.0
325, 617, 617.0
326, 634, 634.0
327, 676, 676.0
328, 698, 698.0
329, 732, 732.0
330, 773, 773.0
331, 818, 818.0
332, 862, 875.0
251
333
334
335
336
251, 3564.6654478520777, 3551.6654478520777
252, 3612.871270133231
253, 3658, 3632.0
254, 3583, 3583.0
255, 3541, 3541.0
256, 3452, 3452.0
257, 3500, 3500.0
258, 3405, 3405.0
259, 3349, 3306.0
260, 3260, 3260.0
261, 3212, 3212.0
262, 3173, 3173.0
263, 3129, 3129.0
264, 3084, 3084.0
265, 3045, 3045.0
266, 3026, 2983.0
267, 2935, 2935.0
268, 2854, 2854.0
269, 2751, 2751.0
270, 2695, 2655.0
271, 2574, 2574.0
272, 2481, 2481.0
273, 2431, 2431.0
274, 2418, 2391.0
273, 2378, 2378.0
272, 2329, 2329.0
275, 2279, 2279.0
276, 2229, 2229.0
277, 2188, 2162.0
278, 2113, 2113.0
279, 2063, 2063.0
280, 1959, 1929.0
281, 1905, 1905.0
282, 1864, 1864.0
283, 1829, 1803.0
284, 1769, 1769.0
285, 1721, 1695.0
286, 1655, 1655.0
287, 1599, 1599.0
288, 1543, 1517.0
289, 1462, 1462.0
290, 1450, 1450.0
291, 1418, 1418.0
292, 1376, 1376.0
293, 1341, 1341.0
294, 1338, 1312.0
295, 1200, 1200.0
296, 1152, 1152.0
297, 1112, 1112.0
298, 1072, 1072.0
299, 1033, 1007.0
300, 968, 968.0
301, 930, 904.0
302, 851, 851.0
303, 803.154116758585
304, 759.8692424198014, 733.8692424198014
305, 690.5843680810177
306, 645.6260138753511, 619.6260138753511
307, 597.2823165024412
308, 560.5036174988551, 534.5036174988551
309, 527.4620420218363
310, 497.86018700932283
311, 455.0187995648562
312, 414.3705247485798, 398.3705247485798
274
337
338
283, 2021, 2009.0
284, 1972, 1972.0
339, 1901, 1901.0
340, 1860, 1860.0
341, 1845, 1819.0
340, 1803, 1803.0
342, 1756, 1730.0
343, 1677, 1677.0
344, 1637, 1637.0
345, 1602, 1576.0
346, 1542, 1542.0
347, 1490, 1490.0
348, 1475, 1462.0
342
349
350
351
352
285, 1461, 1448.0
286, 1408, 1408.0
353, 1371, 1371.0
354, 1337, 1337.0
355, 1297, 1271.0
356, 1198, 1172.0
357, 1141, 1141.0
358, 1119, 1119.0
359, 1080, 1080.0
360, 1062, 1036.0
361, 980, 980.0
362, 946, 946.0
363, 914, 914.0
364, 888, 875.0
355
354
365
366
367
294
368
369
47, 3521, 3495
48, 3465, 3439
49, 3416
50, 3377
51, 3325
52, 3278
53, 3245
54, 3207, 3181
55, 3126
56, 3088
57, 3063
58, 2989
59, 2936
60, 2891, 2861
61, 2817
62, 2783
63, 2739
64, 2688
65, 2657, 2631
66, 2592
67, 2554
68, 2510, 2484
69, 2442
70, 2406
71, 2365
72, 2334, 2308
73, 2263
74, 2224
75, 2177
76, 2129
77, 2098, 2072
78, 2057
79, 1995
80, 1958
81, 1912
82, 1875
83, 1797
84, 1734
85, 1688
86, 1672
87, 1559, 1533
88, 1616
89, 1493
90, 1438
91, 1399, 1359
92, 1315, 1289
93, 1261
94, 1221
95, 1181, 1155
96, -
97, 1114
98, 1075, 1049
99, 1011
100, 973
101, 930, 904
102, 859
103, 830
104, 799
105, 754, 741
54
53
370
371
372
60, 2374, 2358.0
59, 2313, 2313.0
58, 2260, 2260.0
57, 2158, 2158.0
373, 2124, 2124.0
374, 2092, 2066.0
375, 2015, 2015.0
376, 1978, 1978.0
377, 1944, 1931.0
60, 350, 366.0
378, 401, 431.0
379, 468, 468.0
380, 507, 507.0
381, 528, 528.0
382, 565, 565.0
383, 601, 601.0
384, 639, 665.0
385, 700, 700.0
386, 738, 738.0
387, 769, 769.0
388, 801, 801.0
389, 842, 868.0
388, 908, 908.0
390, 937, 963.0
391, 1005, 1005.0
392, 1079, 1079.0
393, 1079, 1105.0
394, 1171, 1171.0
395, 1201, 1201.0
396, 1222, 1222.0
397, 1263, 1280.0
384, 1480, 1493.0
385, 1529, 1529.0
398, 1543, 1543.0
399, 1597, 1597.0
400, 1655, 1655.0
401, 1713, 1713.0
402, 1730, 1756.0
403, 1795, 1795.0
404, 1838, 1838.0
405, 1881, 1881.0
406, 1910, 1930.0
402, 13.0
401, 33, 33.0
407, 75, 75.0
408, 115.31241616387948, 115.0
409, 160.95615823641367, 173.95615823641367
390, 171, 184.0
391, 230, 230.0
392
410, 270, 270.0
411, 312, 350.0
393, 175, 188.0
412, 230, 230.0
413, 273, 273.0
414, 341.99490951761544, 355.0
68, 2380, 2393.0
69, 2435, 2435.0
415, 2483, 2483.0
416, 2523, 2523.0
417, 2567, 2593.0
418, 2636, 2636.0
419, 2682, 2708.0
420, 2758, 2758.0
421, 2794, 2794.0
422, 2826, 2826.0
423, 2838, 2838.0
424, 2878, 2878.0
425, 2922, 2935.0
417, 1280, 1293.0
426, 1336, 1336.0
427, 1377, 1377.0
428, 1424, 1424.0
429, 1465, 1480.0
72, 3703.6925191837186
71, 3739.2946482779826
70, 3777.324856535863
69, 3814.2277101094874
430
431, 3755
432, 3743
433, 3685
434
435, 3521
436, 3451
437
438, 3287
439, 3250
440
441
442, 3097
443, 3058
444, 3003
445, 2971
446, 2929
447, 2874
448
449, 2979
450
451
452, 3650
453, 2608
454, 2590
455, 2547
456, 2463
457, 2463
458, 2416
459, 2387
460, 2358
461
462
463, 2291
464, 2278
465, 2228
466, 2202
467, 2158
468, 2106
469
441, 2950, 2963.0
470, 3003, 3003.0
471, 3041, 3041.0
472, 3076, 3102.0
473, 3144, 3144.0
474, 3199, 3199.0
475, 3242, 3242.0
476, 3297, 3297.0
477, 3305, 3305.0
478, 3342, 3355.0
77, 4007, 3994
78, -
479, 3976
480, 3934
481, 3892
482, 3852
483, 3809
484, 3744
485, 3724
486, 3662
487, 3620
488, 3574
489, 3538
490, 3498
491, -
492, 3456
493, 3398
494, 3369, 3356
3
4
495
496
497
498
499
495
496
497
500, 2771, 2771.0
501, 2732, 2732.0
502, 2692, 2692.0
503, 2647, 2621.0
504, 2534, 2534.0
505, 2448, 2448.0
506, 2370, 2370.0
507, 2335, 2335.0
508, 2298, 2298.0
509, 2257, 2257.0
510, 2217, 2217.0
511, 2173, 2173.0
512, 2129, 2129.0
513, 2089, 2063.0
514
515
516
517
518
519
520
521
522
523
524
525
526
519, 3168, 3155.0
527, 3147, 3147.0
528, 3139, 3139.0
529, 3090, 3090.0
530, 3065, 3065.0
531, 3024, 2998.0
532, 2942, 2942.0
533, 2902, 2902.0
534, 2863, 2850.0
499, 3993.0
535, 3911.0
536, 3809
537, 3700
538, 3671
539, 3952.0
540, 3535
542, 3511
543
544, 3461
545, 3416
546
547, 3344
548, 3326
549, 3310
550, 3266
551, 3224
552
553, 4000, 3697.0
554, 3634, 3594.0
555, 3493, 3467.0
556, 3365, 3365.0
557, 3265, 3265.0
558, 3199, 3199.0
559, 3156, 3156.0
560, 3055, 3055.0
561, 3004, 3004.0
562, 2904, 2904.0
563, 2808, 2808.0
564, 2729, 2729.0
565, 2630, 2630.0
566, 2530, 2530.0
567, 2430, 2430.0
568, 2330, 2330.0
569, 2230, 2230.0
570, 2130, 2130.0
571, 2047, 2047.0
572, 1942, 1942.0
573, 1864, 1864.0
574, 1728, 1728.0
575, 1667, 1641.0
576, 1590, 1590.0
577, 1553, 1553.0
578, 1516, 1516.0
579, 1489, 1489.0
580, 1437, 1437.0
581, 1398, 1398.0
582, 1357, 1357.0
583, 1317, 1317.0
584, 1299, 1273.0
585, 1235, 1235.0
586, 1193, 1193.0
587, 1131, 1131.0
588, 1005, 1005.0
589, 899, 899.0
590, 825, 795.0
591, 698, 698.0
592, 643, 643.0
593, 596, 596.0
594, 546, 546.0
595, 497, 497.0
596, 462, 462.0
597, 424, 424.0
598, 304, 304.0
597, 377, 351.0
599, 265, 265.0
600, 226, 226.0
601, 187, 187.0
602, 147, 131.0
555
554
603
604
605
606
607
575, 1095, 1081.0
608, 1031, 1031.0
609, 991, 991.0
610, 955, 955.0
611, 908, 908.0
612, 871, 871.0
613, 834, 834.0
614, 792, 792.0
615, 743, 743.0
616, 706, 706.0
617, 657, 657.0
618, 615, 600.0
581, 1095, 1135.0
582, 1175, 1175.0
616, 1215, 1215.0
617, 1263, 1263.0
618, 1310, 1310.0
619, 1356, 1369.0
