Numero poste, Longitud 1, Longitud 2
-, , 
801, , 
802, 445, 
803, 483, 
-, , 
804, , 
805, 525, 501.0
806, 563, 
807, 603, 
808, 639, 
809, , 
810, 666, 
811, 735, 
812, 752, 
813, 820, 796.0
814, , 
815, , 
816, , 
817, , 
818, , 
-, , 
819, , 
820, , 
805, 1, 12.0
804, 46, 
821, , 
822, 83, 
823, 120, 
824, 158, 
825, 193, 219.0
